"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"305","Been sick with influenza a all week and all I want is some ocharleys potato soup and rolls",FALSE,0,NA,2019-03-08 18:35:24,FALSE,NA,"1104088243010789376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","laurenkink98",0,FALSE,FALSE,NA,NA
"306","@CouRageJD I’m sick with the flu and I need a good stream to watch all day!",FALSE,0,"Rocket_Monkey26",2019-03-08 18:35:21,FALSE,"1104088082691829766","1104088228095766528","860962832254369794","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rocket_Monkey26",0,FALSE,FALSE,NA,NA
"307","Everyone you know is sick right now. So the question is, is it too late to get a flu shot? https://t.co/vxclnno2d0",FALSE,10,NA,2019-03-08 18:34:42,FALSE,NA,"1104088066736693249",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","InStyle",1,FALSE,FALSE,NA,NA
"308","Second day of flu for youngest. Hoping the rest of us are spared.",FALSE,3,NA,2019-03-08 18:34:11,FALSE,NA,"1104087935014617091",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","palmd",0,FALSE,FALSE,NA,NA
"309","Do you need your flu shots but you don’t know if it’s covered by your insurance? Edwards Pharmacy can help by revie… https://t.co/vK5Cj4zyWT",FALSE,0,NA,2019-03-08 18:33:47,TRUE,NA,"1104087834154143749",NA,"<a href=""https://omgnational.com/"" rel=""nofollow"">UNI Social Posting</a>","EdwardsPharmacy",0,FALSE,FALSE,NA,NA
"310","Day 4 of being miserably sick, so off to the doctor this morning. Congratulations! It’s Type A Flu for me. Bad news, it’s too late to treat.",FALSE,0,NA,2019-03-08 18:33:38,FALSE,NA,"1104087795453308930",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","DATman65",0,FALSE,FALSE,NA,NA
"311","It’s important to understand that flu symptoms can vary from child to child, and they can change as the illness pro… https://t.co/QWiIgRtjuT",FALSE,0,NA,2019-03-08 18:32:46,TRUE,NA,"1104087580247654400",NA,"<a href=""https://www.thryv.com/"" rel=""nofollow"">Thryv</a>","CCPED_ROCHESTER",0,FALSE,FALSE,NA,NA
"312","If your child has cold or flu symptoms with a fever, talk to your doctor about giving him or her children’s acetami… https://t.co/lPlQIhGsB0",FALSE,0,NA,2019-03-08 18:32:46,TRUE,NA,"1104087578947383296",NA,"<a href=""https://www.thryv.com/"" rel=""nofollow"">Thryv</a>","CCPED_ROCHESTER",0,FALSE,FALSE,NA,NA
"313","My 11-year-old who is home w/ flu but feeling better: “Can I clean your pots and pans?!” Wow, girlfriend, you sure… https://t.co/ROBRNrSqoG",FALSE,20,NA,2019-03-08 18:32:45,TRUE,NA,"1104087574472200194",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fionaleslie",0,FALSE,FALSE,NA,NA
"314","can we talk about how fucking useless tamiflu is? you have to take it on the first day of flu symptoms (which is st… https://t.co/TS2SAX2nRe",FALSE,0,NA,2019-03-08 18:32:35,TRUE,NA,"1104087534588608512",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","INeedABroom",0,FALSE,FALSE,NA,NA
"315","even when i live on my own, my mama still takes care of me while i have the flu. she just showed up with chicken noodle soup and sprite<U+0001F629><U+0001F629><U+0001F62D><U+0001F62D>",FALSE,1,NA,2019-03-08 18:32:12,FALSE,NA,"1104087438702579712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kayla_skyberg",0,FALSE,FALSE,NA,NA
"316","US Government lifts ban to allow 'dangerous' bird flu experiments https://t.co/qlXbIm5COd via @MailOnline",FALSE,0,NA,2019-03-08 18:32:03,FALSE,NA,"1104087399401955329",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WBooneHedgepeth",0,FALSE,FALSE,NA,NA
"317","Flu season may not have peaked, and there's another wave of severe infections underway, CDC says - CNN https://t.co/8rGIQVPDxU",FALSE,0,NA,2019-03-08 18:31:35,FALSE,NA,"1104087280225058823",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mturner15",0,FALSE,FALSE,NA,NA
"318","Flu season may not have peaked, and there's another wave of severe infections underway, CDC says - CNN https://t.co/CP3jRBAdVw",FALSE,0,NA,2019-03-08 18:31:20,FALSE,NA,"1104087219806052352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BestSportsState",0,FALSE,FALSE,NA,NA
"319","What are you doing to protect yourself from the flu? https://t.co/23Yeuy8xRp",FALSE,0,NA,2019-03-08 18:31:18,FALSE,NA,"1104087211023257601",NA,"<a href=""http://www.socialnewsdesk.com"" rel=""nofollow"">SocialNewsDesk</a>","WPSDLocal6",2,FALSE,FALSE,NA,NA
"320","Flu season may not have peaked, and there's another wave of severe infections underway, CDC says - CNN https://t.co/tPbLxKmsSB",FALSE,0,NA,2019-03-08 18:31:00,FALSE,NA,"1104087133474689025",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bmangh",0,FALSE,FALSE,NA,NA
"321","@AdamSchein I showed this to my kids who have the flu and now they’re fully recovered. https://t.co/pyo1Wgsjg5",FALSE,3,"AdamSchein",2019-03-08 18:30:41,FALSE,"1104010710676373505","1104087055879987200","37824341","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realprinceblue",0,FALSE,FALSE,NA,NA
"322","‘Widespread’ flu activity reported for tenth week in Kentucky https://t.co/FpdLgBbrej",FALSE,0,NA,2019-03-08 18:30:32,FALSE,NA,"1104087017598734336",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","hopkinsville",0,FALSE,FALSE,NA,NA
"323","3 MORE FLU DEATHS IN CT: The total number of deaths caused by the flu in Connecticut has hit 40 after three more fa… https://t.co/Y3JxIEen0M",FALSE,0,NA,2019-03-08 18:30:27,TRUE,NA,"1104086996086083585",NA,"<a href=""https://panel.socialpilot.co/"" rel=""nofollow"">SocialPilot.co</a>","JusticeLawCT",0,FALSE,FALSE,NA,NA
"324","Flu season may not have peaked, and there's another wave of severe infections underway, CDC says - CNN https://t.co/rJ8vGjAwcz",FALSE,0,NA,2019-03-08 18:30:25,FALSE,NA,"1104086988754481155",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maxinecook",0,FALSE,FALSE,NA,NA
